WARNING:tensorflow:From cnn.py:108: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See @{tf.nn.softmax_cross_entropy_with_logits_v2}.

L2_norm: 0.1, Dropout: 0.5
epoch: 0, trainloss: 66.4025650024414, validloss: 66.38428497314453, testloss: 66.40203857421875, trainacc: 0.8551333546638489, validacc: 0.8659999966621399, testacc: 0.853157103061676
epoch: 1, trainloss: 59.71622848510742, validloss: 59.71125411987305, testloss: 59.72663879394531, trainacc: 0.8824666738510132, validacc: 0.8880000114440918, testacc: 0.877386212348938
epoch: 2, trainloss: 53.42206954956055, validloss: 53.42875671386719, testloss: 53.443092346191406, trainacc: 0.8981999754905701, validacc: 0.9039999842643738, testacc: 0.8880323171615601
epoch: 3, trainloss: 47.60091781616211, validloss: 47.61832809448242, testloss: 47.62909698486328, trainacc: 0.9082666635513306, validacc: 0.8999999761581421, testacc: 0.8964757919311523
epoch: 4, trainloss: 42.271114349365234, validloss: 42.2967529296875, testloss: 42.306800842285156, trainacc: 0.9157333374023438, validacc: 0.9100000262260437, testacc: 0.8950073719024658
epoch: 5, trainloss: 37.434478759765625, validloss: 37.4674186706543, testloss: 37.47370529174805, trainacc: 0.9227333068847656, validacc: 0.9160000085830688, testacc: 0.9052863717079163
epoch: 6, trainloss: 33.06829071044922, validloss: 33.10770797729492, testloss: 33.11317825317383, trainacc: 0.9272000193595886, validacc: 0.9190000295639038, testacc: 0.9089574217796326
epoch: 7, trainloss: 29.146881103515625, validloss: 29.189029693603516, testloss: 29.19713592529297, trainacc: 0.9320666790008545, validacc: 0.921999990940094, testacc: 0.9089574217796326
epoch: 8, trainloss: 25.639074325561523, validloss: 25.689083099365234, testloss: 25.693424224853516, trainacc: 0.934333324432373, validacc: 0.9190000295639038, testacc: 0.9107929468154907
epoch: 9, trainloss: 22.517263412475586, validloss: 22.57377815246582, testloss: 22.577054977416992, trainacc: 0.9383999705314636, validacc: 0.9229999780654907, testacc: 0.9140968918800354
epoch: 10, trainloss: 19.74832534790039, validloss: 19.807331085205078, testloss: 19.807518005371094, trainacc: 0.9412000179290771, validacc: 0.9229999780654907, testacc: 0.9174008965492249
epoch: 11, trainloss: 17.30643081665039, validloss: 17.369556427001953, testloss: 17.367294311523438, trainacc: 0.9423333406448364, validacc: 0.921999990940094, testacc: 0.9185022115707397
